index,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,SolZ_F,SenZ_F,SCA_F,SolZ_B,SenZ_B,SCA_B,lc,province,month,season,Fine_Mode_AOD_500nm
NEON_OAES,0.25643775,0.13224398,0.15018092,0.25921607,0.30211645,0.23844238,0.16550986,0.20614977,0.38864732,0.40105304,28.870806,31.333084,134.89902,29.040722,31.524487,172.76746,130,35,8,2,0.065095333
NEON_YELL,0.49268252,0.44571877,0.33682898,0.4513915,0.09489655,0.5167963,0.3820502,0.35133734,0.48463997,0.0956018,67.74564,32.760353,87.7404,67.80241,32.870094,127.58364,70,49,1,4,0.01509175
Univ_of_Nevada-Reno,0.30977434,0.19189967,0.1530229,0.19853786,0.16381577,0.3291266,0.22160645,0.21111383,0.2960111,0.22236899,65.251396,41.67569,98.98104,65.36548,41.779366,136.8819,190,27,11,3,0.017031667
NASA_Ames,0.23111854,0.18286353,0.17230509,0.21044007,0.1983112,0.24093276,0.20608988,0.19519201,0.28911453,0.2441576,25.509104,22.410702,133.47968,25.663363,22.636105,159.65685,120,4,5,1,0.037872556
Billerica,0.23809253,0.12444254,0.07067526,0.25900164,0.1373159,0.217912,0.118976645,0.093238235,0.34918267,0.1982356,26.982468,21.999792,133.41177,27.128403,22.233154,167.31325,190,20,7,2,0.0681235
NEON_Harvard,0.22967924,0.09692843,0.036413036,0.24144344,0.122106984,0.21568851,0.08520789,0.04603464,0.3142212,0.15175591,47.091568,39.497734,100.15063,47.184444,39.575264,130.0143,90,20,9,3,0.005482538
Fresno_2,0.21027535,0.14498985,0.14127277,0.2166034,0.21487172,0.20481679,0.1555152,0.1646221,0.26251078,0.23525661,20.47966,27.675352,131.84734,20.644144,27.83846,150.1021,190,4,7,2,0.0421533
NEON_MOAB,0.21226901,0.1363955,0.21808884,0.30067277,0.35379174,0.23415871,0.18322763,0.27985933,0.36670944,0.46437463,47.962498,22.050743,110.44692,48.07442,22.289478,151.0631,120,43,10,3,0.1440025
NEON_NOGP,0.26931626,0.13484275,0.12472677,0.2999798,0.3045121,0.26895228,0.15921944,0.1635493,0.3524589,0.37577876,46.676476,40.175934,117.01352,46.809803,40.312424,154.09325,130,33,9,3,0.018931455
Appalachian_State,0.30628735,0.17419922,0.13493812,0.3825105,0.19212052,0.2674233,0.15276888,0.1167793,0.5035097,0.27986848,29.036694,36.033073,134.32707,29.202633,36.14958,167.15059,130,32,8,2,0.14176
Granite_Island,0.29218134,0.25351396,0.26411605,0.27071485,0.26562622,0.20981237,0.06271526,0.030214692,0.018083137,0.010902453,29.170204,23.549307,127.45674,29.293144,23.742496,156.77353,210,21,6,2,0.0572288
NEON_SJER,0.2511906,0.13575704,0.14848028,0.24591936,0.31583303,0.25380233,0.17238903,0.19819662,0.33646303,0.39275804,41.83295,26.596235,120.64675,41.971466,26.789484,163.40263,10,4,9,3,0.0854325
GSFC,0.25470853,0.12558465,0.05128599,0.13471365,0.14609808,0.32061717,0.111929104,0.22440304,0.3265023,0.23578314,31.484041,35.403797,131.79837,31.639452,35.55759,167.11224,190,19,8,2,0.064746333
NEON_SJER,0.2239287,0.117424786,0.12862681,0.22569935,0.29819408,0.20131373,0.13432607,0.16178852,0.26266912,0.3466599,21.799923,27.985043,130.29568,21.9492,28.145657,150.51974,10,4,7,2,0.071887273
NEON_KONZ,0.31043822,0.15236717,0.1110493,0.23645,0.27556303,0.31368643,0.15779004,0.18992694,0.34543028,0.37778807,59.990673,37.677795,104.25474,60.102783,37.790977,143.66817,130,15,11,3,0.0626063
USGS_Flagstaff_ROLO,0.27282643,0.19194287,0.1754169,0.27545494,0.2523854,0.23761372,0.18220966,0.19316451,0.33747408,0.32303375,26.41489,29.489798,140.13301,26.610456,29.687576,176.91125,70,2,5,1,0.0332005
